"channel","publish_date","Program","title","views","comments","likes","dislikes"
"Willax Televisión",2021-04-08,"Milagros Leiva Entrevista ","ABR07 - 2/4 - PERÚ ES EL PAÍS CON EL PEOR MANEJO DE LA PANDEMIA | Willax",18066,100,302,0
"Willax Televisión",2021-04-08,"Milagros Leiva Entrevista ","ABR 07 - 3/4 -  | Willax",15700,85,262,0
"Willax Televisión",2021-04-08,"Beto a Saber ","ABR 07 - 1/4 - 'VACUNAGATE': EL INFORME FINAL | Willax",80586,602,1742,0
"Willax Televisión",2021-04-10,"Beto a Saber ","ABR 09 - 1/3 - EL LARGARTO, ES OTRA PESTE | Willax",125446,759,2957,0
"Willax Televisión",2021-04-15,"Milagros Leiva Entrevista ","ABR 14 - 4/4 - LOS NUEVOS ROSTROS DEL CONGRESO | Willax",12053,86,275,0
"Willax Televisión",2021-04-28,"Milagros Leiva Entrevista ","ABR 27 - 2/4 - EL PLAN DE KEIKO PARA ENFRENTAR LA PANDEMIA | Willax",23311,254,532,0
"Willax Televisión",2021-04-28,"Milagros Leiva Entrevista ","ABR 27 - 3/4 -  | Willax",14740,181,453,0
"Willax Televisión",2021-05-05,"Beto a Saber ","MAY 04 - 1/3 - ¿A MÍ CON CUENTOS CHINOS? | Willax",162797,1128,2878,0
"Willax Televisión",2021-05-06,"Beto a Saber ","MAY 05 - 1/2 - VERÓNIKA MENDOZA APOYA A PEDRO CASTILLO | Willax",101968,1177,2453,0
"Willax Televisión",2021-05-29,"Beto a Saber ","MAY 28 - 1/3 -  | Willax",139149,1366,3172,0
"Willax Televisión",2021-06-29,"Milagros Leiva Entrevista ","JUN 28 - 2/3 - VIZCARRA, ""TRIPLE X"" | Willax",30476,206,616,0
"Willax Televisión",2021-06-29,"Beto a Saber ","JUN 28 - 1/3 - VACADO Y TRES VECES VACUNADO | Willax",105834,719,2913,0
"Willax Televisión",2021-07-13,"Combutters ","JUL 12 - 4/4 | MÉDICOS PIDEN VACUNA PFIZER | Willax",6390,19,217,0
"Willax Televisión",2021-12-15,"Milagros Leiva Entrevista ","DIC 14 - 2/3 - ¿QUÉ PASÓ REALMENTE EN ESPAÑA? | Willax",14758,77,371,0
"PBO",2021-12-17,"PBO","Phillip Butters y Judy Rodríguez arremeten contra el pedido de Vizcarra | PBO",8545,57,266,0
